Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Collect The Trophy","10 Ft. Ganja Plant","Skycatcher","GM","Playlist","US29V1332503","4shJmtVH3PCCCMwDZb9DUr"
"Here I Come","Barrington Levy","Best of Barrington Levy - 20th Century Masters","GM","Playlist","GBAPX8500001","5kBEIXVHkNd6BtQH4TouyD"
"Utterance","Black Uhuru","Red","GM","Playlist","USWWW0124671","40KVOmG0mOFIuLwNSMGsAP"
"Kaya","Bob Marley & The Wailers","Kaya","GM","Playlist","USIR27800258","2rahWhhubhQMhG6coo7Vu9"
"Mi Deh Yah","Clinton Fearon","Mi Deh Yah","GM","Playlist","QMAUJ1000040","213rs53YJHPj44TijKVscQ"
"007 (Shanty Town)","Desmond Dekker","007 Shanty Town","GM","Playlist","GBAJE6600282","7LOAChK8Lkj8ZdF1LuhNWP"
"Night Nurse","Gregory Isaacs","Night Nurse","GM","Playlist","USIR18290001","2SExqG9hbE7tMbiqbOHpMK"
"World A Music","iNi Kamoze","Ini Kamoze","GM","Playlist","FR5U10600673","2SE11vmjbi7j5QKJ885ib6"
"Cool and Calm","Israel Vibration","Strength of My Life","GM","Playlist","GBAJE8800073","0dO79bdqpF4yl3Hpms8Eu7"
"Habit","The Movement","Set Sail","GM","Playlist","USLZJ1424809","359uDQWA7BYzVEIpBJ7TFI"
"Rent","Pepper","No Shame","GM","Playlist","USAT20619522","748pETtPvRIotGU9N3FgXH"
"Outta Control","Rebelution","Bright Side of Life","GM","Playlist","USME30901411","5DKFbJteHTFm0gT96lhJ2E"
"Bam Bam","Sister Nancy","One Two","GM","Playlist","USA2P0804885","7cKLOenzViwzoHJWciMIrj"
"Johnny Too Bad","The Slickers","The Harder They Come","GM","Playlist","GBAAN7200046","2bucSxBlIwsGzhe79QMypW"
"Right Me Up","Chadwick Stokes","Us Against The Crown","GM","Playlist","CAN110501068","2f5m5MB4H5wRS5iu7oee1Q"
"Handsworth Revolution","Steel Pulse","Sound System: The Island Anthology","GM","Playlist","GBAPA7800006","5nr9S1hI8LHEh6jCkgtxLi"
"Doin' Time","Sublime","Sublime Greatest Hits","GM","Playlist","USGA19649248","4mAqG6KNWZQiekSthr2QtL"
"The Garden","Tribal Seeds","The Harvest","GM","Playlist","USHM20928946","0d5kLB4iMx2208UwieUzNa"
"Moonlight","Tribal Seeds","Representing","GM","Playlist","USCGJ1458535","5G8xknglIO3jFYIXS34YB2"
"Shark Attack","Wailing Souls","All Over The World","GM","Playlist","USSM10025964","0OBpi0UROMJXLyU0Zky3KS"
"Fire House Rock","Wailing Souls","Fire House Rock","GM","Playlist","GBBZV8102789","7hnayhSRyYdRGr3YjMpLJb"
"Act Of Affection","Wailing Souls","Fire House Rock","GM","Playlist","GBBZV8110533","7nPMsFa65oZMAUHNuTmTVP"
"Iron Sharpening Iron - 2000 Digital Remaster","Culture","Harder Than The Rest","GM","Playlist","GBAAA9901144","3M8lhoHkcKWzrkK7amni3h"
"My Thoughts","The Gladiators","Original Songs, Vol. 1","GM","Playlist","FR6V81746277","0nTlrK9vC7Ti3o7vOKy4mS"
"Mercy","10 Ft. Ganja Plant","Midnight Landing","GM","Playlist","US29V0428208","2LehHKubfBGPGza3pk3uIj"
"Life Is A Journey","Clinton Fearon","Mi Deh Yah","GM","Playlist","QMAUJ1000010","6rcNyw6K4owU2v9A9EL2C3"
"Five Man Army / Send Another Moses","Dillinger","Five Man Army","GM","Playlist","GBW5U1412011","3kzvULvXZ6WA3bH5hEgDxn"
"Gone to Negril","Althea And Donna","Sounds & Pressure Vol. 7","GM","Playlist","US2391731101","0USNMtzsA6Id89tiSUlfRZ"
"Swedish Prison","10 Ft. Ganja Plant","Bass Chalice","GM","Playlist","US29V0529408","4oWICGGGH07snipgaw3zEO"
"Book Of Rules","The Heptones","Night Food","GM","Playlist","USUM70506296","4PKri4OX2AB2RXj95Y9ZgB"
"For Hire and Removal - 12"" Mix","Eek-A-Mouse","Reggae Anthology: Eek-Ology","GM","Playlist","USVPR1200694","3nySNL3ZD64jc27oZDsvvK"
"On The Other Side","The Gladiators","Back To Roots","GM","Playlist","FR5U10000280","4YiWAwK3mFnyW6M52Mvl2G"
"Look-A Py Py","Bacao Rhythm","Look-A Py Py","GM","Playlist","CDGC60700176","4EjvOdPkIjeaFfrzXBzZQW"
"Police In Helicopter","John Holt","Police In Helicopter","GM","Playlist","GBBZV8301362","0mD19MC6H0OzHvEUADHypU"
"Mirage","Rebelution","Falling into Place","GM","Playlist","US4CL1610062","5XRA247bvOFoCBR15hgQFZ"
"Train to Skaville","The Ethiopians","Engine 54","GM","Playlist","GBAJE6500295","44L7aDHaRzb9pMWEZjSH8u"
"Marcus Garvey","Burning Spear","Marcus Garvey","GM","Playlist","USIR27500001","19xNX9hJVVBzASSZv07eYK"
"Black Roses","Barrington Levy","Original Ragga Muffin, Pt.1","GM","Playlist","TCACJ1561246","7a2FaJBUsniyDAOFoopHuM"
"I A Rebel Soul","Aswad","Aswad","GM","Playlist","GBAPA7600038","77Qzu89S9qUjkIrF0G04dF"
"Kneel At The Feet","10 Ft. Ganja Plant","Midnight Landing","GM","Playlist","US29V0428203","6Hxt0LgW2pBrMBoaHaIP4G"
"No More Fighting - Remastered 2001","Althea And Donna","Uptown Top Ranking","GM","Playlist","GBAAA0100130","2S0sC4tLzRxLVpHMxiaYrU"
"Bankrobber","The Clash","Hits Back","GM","Playlist","GBARL1201014","6gSDSkAJ3vuSINvcroq1Vn"
"Sponji Reggae","Black Uhuru","Red","GM","Playlist","USIR18190009","1NeZjWdwvsEEDpHbuj54we"
"To Live a Little Love","iNi Kamoze","Statement","GM","Playlist","USNF98410008","4UcbiCx4m9ytC5lAfRteoV"